epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4984,2.66414,4.08007,2.88087,0.00995,1,0.14976,0.02843,3.32036,5.45306,4.39693,0,0,0
2,16.5229,2.87038,4.48263,3.31382,0.01003,1,0.15176,0.02992,3.24872,5.50804,4.27854,1.089e-05,1.089e-05,1.089e-05
3,23.2047,2.56966,3.93448,2.83163,0.01044,1,0.14994,0.02999,3.20943,5.31239,4.20579,2.13401e-05,2.13401e-05,2.13401e-05
4,26.7255,2.57739,3.87845,2.84857,0.01061,1,0.15214,0.03157,3.08158,5.60791,4.08419,3.13502e-05,3.13502e-05,3.13502e-05
5,30.1464,2.5425,4.11612,2.93178,0.01105,1,0.26731,0.05549,2.86241,6.01071,3.91267,4.09204e-05,4.09204e-05,4.09204e-05
6,33.6986,2.44755,3.88837,2.68277,0.01153,1,0.31013,0.06203,2.89069,5.74244,3.86665,5.00506e-05,5.00506e-05,5.00506e-05
7,37.3535,2.51078,4.13246,2.74239,0.01208,1,0.21011,0.03979,2.82511,6.01149,3.75493,5.87408e-05,5.87408e-05,5.87408e-05
8,40.727,2.12096,3.71983,2.39454,0.01356,1,0.2012,0.0404,2.85994,5.74522,3.68914,6.69911e-05,6.69911e-05,6.69911e-05
9,44.1587,2.33809,3.86054,2.64816,0.01455,1,0.11986,0.0278,2.87526,5.89283,3.5008,7.48014e-05,7.48014e-05,7.48014e-05
10,47.6531,2.16463,3.71215,2.60567,0.01667,1,0.1212,0.028,2.53002,6.85966,3.1265,8.21718e-05,8.21718e-05,8.21718e-05
11,51.5675,1.90484,3.68408,2.14054,0.01896,1,0.11591,0.01998,2.83859,5.72461,3.20647,8.91022e-05,8.91022e-05,8.91022e-05
12,55.2412,2.0573,3.60907,2.34016,0.02247,1,0.1262,0.02803,2.72138,5.63704,3.13836,9.55927e-05,9.55927e-05,9.55927e-05
13,58.9118,2.05974,3.60482,2.35047,0.02597,1,0.12719,0.03529,2.52416,5.55792,2.97997,0.000101643,0.000101643,0.000101643
14,62.4669,1.97538,3.66343,2.27604,0.02899,1,0.17258,0.05063,2.54589,5.07377,3.02568,0.000107254,0.000107254,0.000107254
15,65.9928,2.12579,3.42686,2.26748,0.03333,1,0.155,0.03833,2.62418,4.92618,2.99717,0.000112424,0.000112424,0.000112424
16,69.5847,1.81837,3.46435,2.10394,0.03704,1,0.17719,0.04627,2.53811,4.81711,2.82843,0.000117155,0.000117155,0.000117155
